mapid,hash,type,name,area,levels
1010101,0x65C60E29,levelinfo,levelinfo,,1101005;1201005;1301005
1010101,0x21DD1A03,line,1_0203001,1,1101005
1010101,0x3016099C,line,1_0203201,1,1301005
1010101,0x3E2C490D,line,1_0203101,1,1201005
1010101,0x61F80EDB,line,2_0001101,2,1201005
1010101,0x69681BE9,line,3_0100201,3,1301005
1010101,0x93167C23,line,2_0001001,2,1101005
1010101,0xBDF05ABE,line,2_0001201,2,1301005
1010101,0xBEC4156A,line,3_0100101,3,1201005
1010101,0xED522F24,line,3_0100001,3,1101005
1010101,0xA298F892,mapinfo,mapinfo,,
1010103,0x65C60E29,levelinfo,levelinfo,,1101006;1101008;1101010
1010103,0x21DD1A03,line,1_0203001,1,1101006;1101008
1010103,0x538BD72B,line,1_0000001,1,1101010
1010103,0x93167C23,line,2_0001001,2,1101006;1101008
1010103,0xCF672C3A,line,3_0100002,3,1101006;1101008
1010103,0xED522F24,line,3_0100001,3,1101006;1101008
1010103,0xA298F892,mapinfo,mapinfo,,
1010104,0x65C60E29,levelinfo,levelinfo,,1101009
1010104,0x21DD1A03,line,1_0203001,1,
1010104,0x538BD72B,line,1_0000001,1,1101009
1010104,0x93167C23,line,2_0001001,2,
1010104,0xCF672C3A,line,3_0100002,3,
1010104,0xED522F24,line,3_0100001,3,
1010104,0xA298F892,mapinfo,mapinfo,,
1020101,0x65C60E29,levelinfo,levelinfo,,1101007;1403003;1403004;7101007
1020101,0x0ACC4B22,line,1_0000006,1,
1020101,0x1FFD9496,line,1_0000004,1,1403003;1403004;7101007
1020101,0x49E9FFCD,line,1_0000003,1,1403003;1403004;7101007
1020101,0x538BD72B,line,1_0000001,1,1101007;1403003;1403004;7101007
1020101,0x6BE4D318,line,1_0000005,1,7101007
1020101,0xA8AA9FEE,line,1_0000007,1,
1020101,0xA298F892,mapinfo,mapinfo,,
1020201,0x65C60E29,levelinfo,levelinfo,,1202001;1202002
1020201,0x49E9FFCD,line,1_0000003,1,
1020201,0x538BD72B,line,1_0000001,1,1202001;1202002
1020201,0xFF2087CE,line,1_0000002,1,1202001;1202002
1020201,0xA298F892,mapinfo,mapinfo,,
1020202,0x65C60E29,levelinfo,levelinfo,,1202003
1020202,0x538BD72B,line,1_0000001,1,1202003
1020202,0xA298F892,mapinfo,mapinfo,,
1030102,0x65C60E29,levelinfo,levelinfo,,1301002
1030102,0x538BD72B,line,1_0000001,1,1301002
1030102,0xA298F892,mapinfo,mapinfo,,
1030103,0x65C60E29,levelinfo,levelinfo,,1301003
1030103,0x538BD72B,line,1_0000001,1,1301003
1030103,0xA298F892,mapinfo,mapinfo,,
1030104,0x65C60E29,levelinfo,levelinfo,,1301004
1030104,0x538BD72B,line,1_0000001,1,1301004
1030104,0xA298F892,mapinfo,mapinfo,,
1040101,0x65C60E29,levelinfo,levelinfo,,1403001;1403002
1040101,0x538BD72B,line,1_0000001,1,1403001;1403002
1040101,0xFF2087CE,line,1_0000002,1,1403002
1040101,0xA298F892,mapinfo,mapinfo,,
1100133,0x65C60E29,levelinfo,levelinfo,,1101133
1100133,0x538BD72B,line,1_0000001,1,1101133
1100133,0xA298F892,mapinfo,mapinfo,,
1110101,0x65C60E29,levelinfo,levelinfo,,1101141;1101166;1101167;1101168;1101174;1101175
1110101,0x0060B244,line,3_0500001,3,1101168
1110101,0x08B63D21,line,1_0006001,1,1101175
1110101,0x095D6BF4,line,2_0005001,2,1101168
1110101,0x1081C10F,line,3_0401001,3,1101174
1110101,0x1BF8856B,line,9_0000201,9,
1110101,0x21720F02,line,1_0006002,1,1101175
1110101,0x25020E21,line,7_0600001,7,1101175
1110101,0x45FFCACC,line,2_0006003,2,1101166
1110101,0x57393115,line,7_0000001,7,1101141
1110101,0x68F36B60,line,4_0003001,4,1101174
1110101,0x747C9E7A,line,2_0005004,2,1101168
1110101,0x7BC735AC,line,2_0005003,2,1101168
1110101,0x7E8C8413,line,4_0003002,4,1101174
1110101,0x87EB5550,line,9_0000101,9,
1110101,0x8B844E15,line,2_0006001,2,1101166
1110101,0xBE696B47,line,5_0203001,5,1101168
1110101,0xC89E92A5,line,8_0600001,8,1101166
1110101,0xD0850D28,line,6_0208001,6,1101166
1110101,0xD5B2B350,line,6_0107001,6,1101175
1110101,0xD7AF9BBF,line,2_0006004,2,1101166
1110101,0xDE311CC7,line,1_0300001,1,1101174
1110101,0xE7F5288C,line,2_0006002,2,1101166
1110101,0xF7A4CB74,line,2_0005002,2,1101168
1110101,0xF7F1FE28,line,9_0000001,9,1101167
1110101,0xA298F892,mapinfo,mapinfo,,
1110103,0x65C60E29,levelinfo,levelinfo,,1101142;1101176;1101177;1101178;1101179;1101180;1101181;1101182;1101183;1101184;1101185;1101186
1110103,0x0026675D,line,9_0800002,9,
1110103,0x0060B244,line,3_0500001,3,1101178
1110103,0x025B22F4,line,3_0410001,3,1101179
1110103,0x08B63D21,line,1_0006001,1,1101180
1110103,0x095D6BF4,line,2_0005001,2,1101178
1110103,0x0A2D18F9,line,3_1000001,3,1101183
1110103,0x0D1B6EFF,line,3_0001001,3,
1110103,0x1081C10F,line,3_0401001,3,
1110103,0x1142E429,line,8_0009001,8,
1110103,0x12DCA59F,line,10_0301001,10,1101186
1110103,0x18FAE670,line,1_0003001,1,
1110103,0x21720F02,line,1_0006002,1,1101180
1110103,0x25020E21,line,7_0600001,7,1101180
1110103,0x2737423E,line,11_0009002,11,1101177;1101185
1110103,0x27EFC4FD,line,8_0507001,8,1101181
1110103,0x2B7D2BD8,line,6_0002001,6,1101184
1110103,0x2D3BDFC6,line,1_1000001,1,1101186
1110103,0x38EE917D,line,,10,
1110103,0x4045B9CE,line,9_1100002,9,1101177;1101185
1110103,0x45FFCACC,line,2_0006003,2,1101176
1110103,0x4A321F5F,line,2_0003001,2,1101182
1110103,0x4A5F789C,line,2_0601001,2,1101184
1110103,0x57393115,line,7_0000001,7,1101142
1110103,0x61BEF369,line,1_0200001,1,1101184
1110103,0x68F36B60,line,4_0003001,4,1101179
1110103,0x6D0B1E65,line,5_0008001,5,1101181
1110103,0x6D70A0A3,line,10_0300001,10,1101179
1110103,0x747C9E7A,line,2_0005004,2,1101178
1110103,0x791F12C0,line,9_1100001,9,1101177;1101185
1110103,0x7BC735AC,line,2_0005003,2,1101178
1110103,0x7E8C8413,line,4_0003002,4,1101179
1110103,0x87CE192A,line,7_0800001,7,1101181
1110103,0x8B844E15,line,2_0006001,2,1101176
1110103,0x9474F4DB,line,1_1000002,1,
1110103,0x985CA005,line,10_0103001,10,1101183
1110103,0xA4A8B84D,line,8_0009002,8,
1110103,0xAB04295C,line,5_0300001,5,1101182
1110103,0xB31F736F,line,11_0009001,11,1101177;1101185
1110103,0xBCA34DE4,line,3_0010001,3,1101186
1110103,0xBE696B47,line,5_0203001,5,1101178
1110103,0xC89E92A5,line,8_0600001,8,1101176
1110103,0xD0850D28,line,6_0208001,6,1101176
1110103,0xD5528D8C,line,9_0800001,9,
1110103,0xD56E8407,line,1_0010001,1,1101183
1110103,0xD5B2B350,line,6_0107001,6,1101180
1110103,0xD7AF9BBF,line,2_0006004,2,1101176
1110103,0xD7B8BDB0,line,9_0000002,9,
1110103,0xDE311CC7,line,1_0300001,1,
1110103,0xE7F5288C,line,2_0006002,2,1101176
1110103,0xED522F24,line,3_0100001,3,
1110103,0xEE0543A1,line,3_0205001,3,1101182
1110103,0xF2D81CD1,line,,10,
1110103,0xF590BD0F,line,1_0300002,1,
